UF,Município,Situação
MG,MAR DE ESPANHA,Aprovado
AL,MAR VERMELHO,Não Cadastrado
GO,MARA ROSA,Não Cadastrado
AM,MARAA,Não Cadastrado
PA,MARABA,Aprovado
SP,MARABA PAULISTA,Não Cadastrado
MA,MARACACUME,Aprovado
SP,MARACAI,Aprovado
SC,MARACAJA,Aprovado
MS,MARACAJU,Em Cadastro
PA,MARACANA,Aprovado
CE,MARACANAU,Aprovado
BA,MARACAS,Aprovado
AL,MARAGOGI,Aprovado
BA,MARAGOGIPE,Aprovado
PE,MARAIAL,Aprovado
MA,MARAJA DO SENA,Aprovado
CE,MARANGUAPE,Aprovado
MA,MARANHAOZINHO,Não Cadastrado
PA,MARAPANIM,Aprovado
SP,MARAPOAMA,Não Cadastrado
RS,MARATA,Aprovado
ES,MARATAIZES,Aprovado
RS,MARAU,Aprovado
BA,MARAU,Aprovado
SC,MARAVILHA,Aprovado
AL,MARAVILHA,Aprovado
MG,MARAVILHAS,Aprovado
PB,MARCACAO,Aprovado
MT,MARCELANDIA,Aprovado
RS,MARCELINO RAMOS,Em Cadastro
RN,MARCELINO VIEIRA,Aprovado
BA,MARCIONILIO SOUZA,Não Cadastrado
CE,MARCO,Aprovado
PI,MARCOLANDIA,Aprovado
PI,MARCOS PARENTE,Não Cadastrado
PR,MARECHAL CANDIDO RONDON,Aprovado
AL,MARECHAL DEODORO,Aprovado
ES,MARECHAL FLORIANO,Aprovado
AC,MARECHAL THAUMATURGO,Aprovado
SC,MAREMA,Não Cadastrado
PB,MARI,Aprovado
MG,MARIA DA FE,Aprovado
PR,MARIA HELENA,Não Cadastrado
PR,MARIALVA,Aprovado
MG,MARIANA,Aprovado
RS,MARIANA PIMENTEL,Aprovado
RS,MARIANO MORO,Não Cadastrado
TO,MARIANOPOLIS DO TOCANTINS,Aprovado
SP,MARIAPOLIS,Aprovado
AL,MARIBONDO,Aprovado
RJ,MARICA,Aprovado
MG,MARILAC,Não Cadastrado
ES,MARILANDIA,Aprovado
PR,MARILANDIA DO SUL,Aprovado
PR,MARILENA,Aprovado
SP,MARILIA,Aprovado
PR,MARILUZ,Aprovado
PR,MARINGA,Aprovado
SP,MARINOPOLIS,Não Cadastrado
MG,MARIO CAMPOS,Aprovado
PR,MARIOPOLIS,Não Cadastrado
PR,MARIPA,Em Cadastro
MG,MARIPA DE MINAS,Aprovado
PA,MARITUBA,Aprovado
PB,MARIZOPOLIS,Aprovado
MG,MARLIERIA,Aprovado
PR,MARMELEIRO,Aprovado
MG,MARMELOPOLIS,Em Complementação
RS,MARQUES DE SOUZA,Aprovado
PR,MARQUINHO,Não Cadastrado
MG,MARTINHO CAMPOS,Aprovado
CE,MARTINOPOLE,Não Cadastrado
SP,MARTINOPOLIS,Aprovado
RN,MARTINS,Aprovado
MG,MARTINS SOARES,Não Cadastrado
SE,MARUIM,Aprovado
PR,MARUMBI,Aprovado
GO,MARZAGAO,Não Cadastrado
BA,MASCOTE,Aprovado
CE,MASSAPE,Aprovado
PI,MASSAPE DO PIAUI,Aprovado
SC,MASSARANDUBA,Aprovado
PB,MASSARANDUBA,Aprovado
RS,MATA,Não Cadastrado
BA,MATA DE SAO JOAO,Aprovado
AL,MATA GRANDE,Aprovado
MA,MATA ROMA,Aprovado
MG,MATA VERDE,Aprovado
SP,MATAO,Aprovado
PB,MATARACA,Aprovado
TO,MATEIROS,Aprovado
PR,MATELANDIA,Aprovado
MG,MATERLANDIA,Aprovado
MG,MATEUS LEME,Aprovado
MG,MATHIAS LOBATO,Não Cadastrado
MG,MATIAS BARBOSA,Não Cadastrado
MG,MATIAS CARDOSO,Aprovado
PI,MATIAS OLIMPIO,Não Cadastrado
BA,MATINA,Não Cadastrado
MA,MATINHA,Aprovado
PB,MATINHAS,Aprovado
PR,MATINHOS,Aprovado
MG,MATIPO,Aprovado
RS,MATO CASTELHANO,Aprovado
PB,MATO GROSSO,Aprovado
RS,MATO LEITAO,Aprovado
RS,MATO QUEIMADO,Em Cadastro
PR,MATO RICO,Aprovado
MG,MATO VERDE,Aprovado
MA,MATOES,Aprovado
MA,MATOES DO NORTE,Aprovado
SC,MATOS COSTA,Não Cadastrado
MG,MATOZINHOS,Aprovado
GO,MATRINCHA,Não Cadastrado
AL,MATRIZ DE CAMARAGIBE,Aprovado
MT,MATUPA,Aprovado
PB,MATUREIA,Aprovado
MG,MATUTINA,Aprovado
SP,MAUA,Aprovado
PR,MAUA DA SERRA,Aprovado
AM,MAUES,Aprovado
GO,MAURILANDIA,Não Cadastrado
TO,MAURILANDIA DO TOCANTINS,Aprovado
CE,MAURITI,Aprovado
RN,MAXARANGUAPE,Aprovado
RS,MAXIMILIANO DE ALMEIDA,Aprovado
AP,MAZAGAO,Aprovado
MG,MEDEIROS,Aprovado
BA,MEDEIROS NETO,Aprovado
PR,MEDIANEIRA,Aprovado
PA,MEDICILANDIA,Aprovado
MG,MEDINA,Aprovado
SC,MELEIRO,Aprovado
PA,MELGACO,Aprovado
RJ,MENDES,Aprovado
MG,MENDES PIMENTEL,Não Cadastrado
SP,MENDONCA,Não Cadastrado
PR,MERCEDES,Aprovado
MG,MERCES,Aprovado
SP,MERIDIANO,Não Cadastrado
CE,MERUOCA,Aprovado
SP,MESOPOLIS,Não Cadastrado
RJ,MESQUITA,Aprovado
MG,MESQUITA,Aprovado
AL,MESSIAS,Aprovado
RN,MESSIAS TARGINO,Aprovado
PI,MIGUEL ALVES,Aprovado
BA,MIGUEL CALMON,Aprovado
PI,MIGUEL LEAO,Aprovado
RJ,MIGUEL PEREIRA,Aprovado
SP,MIGUELOPOLIS,Aprovado
BA,MILAGRES,Aprovado
CE,MILAGRES,Aprovado
MA,MILAGRES DO MARANHAO,Não Cadastrado
CE,MILHA,Aprovado
PI,MILTON BRANDAO,Aprovado
GO,MIMOSO DE GOIAS,Não Cadastrado
ES,MIMOSO DO SUL,Aprovado
GO,MINACU,Aprovado
AL,MINADOR DO NEGRAO,Aprovado
RS,MINAS DO LEAO,Não Cadastrado
MG,MINAS NOVAS,Aprovado
MG,MINDURI,Não Cadastrado
GO,MINEIROS,Aprovado
SP,MINEIROS DO TIETE,Em Complementação
RO,MINISTRO ANDREAZZA,Aprovado
SP,MIRA ESTRELA,Não Cadastrado
MG,MIRABELA,Aprovado
SP,MIRACATU,Aprovado
RJ,MIRACEMA,Aprovado
TO,MIRACEMA DO TOCANTINS,Aprovado
PR,MIRADOR,Não Cadastrado
MA,MIRADOR,Aprovado
MG,MIRADOURO,Não Cadastrado
RS,MIRAGUAI,Aprovado
MG,MIRAI,Aprovado
CE,MIRAIMA,Não Cadastrado
MS,MIRANDA,Aprovado
MA,MIRANDA DO NORTE,Aprovado
PE,MIRANDIBA,Aprovado
SP,MIRANDOPOLIS,Aprovado
BA,MIRANGABA,Aprovado
TO,MIRANORTE,Aprovado
BA,MIRANTE,Não Cadastrado
RO,MIRANTE DA SERRA,Não Cadastrado
SP,MIRANTE DO PARANAPANEMA,Aprovado
PR,MIRASELVA,Aprovado
SP,MIRASSOL,Aprovado
MT,MIRASSOL D'OESTE,Não Cadastrado
SP,MIRASSOLANDIA,Aprovado
MG,MIRAVANIA,Não Cadastrado
SC,MIRIM DOCE,Não Cadastrado
MA,MIRINZAL,Aprovado
PR,MISSAL,Aprovado
CE,MISSAO VELHA,Aprovado
PA,MOCAJUBA,Aprovado
SP,MOCOCA,Aprovado
SC,MODELO,Aprovado
MG,MOEDA,Aprovado
MG,MOEMA,Aprovado
PB,MOGEIRO,Aprovado
SP,MOGI DAS CRUZES,Aprovado
SP,MOGI GUACU,Aprovado
GO,MOIPORA,Não Cadastrado
SE,MOITA BONITA,Aprovado
SP,MOJI MIRIM,Aprovado
PA,MOJU,Aprovado
PA,MOJUI DOS CAMPOS,Aprovado
CE,MOMBACA,Aprovado
SP,MOMBUCA,Não Cadastrado
MA,MONCAO,Aprovado
SP,MONCOES,Aprovado
SC,MONDAI,Não Cadastrado
SP,MONGAGUA,Aprovado
MG,MONJOLOS,Não Cadastrado
PI,MONSENHOR GIL,Aprovado
PI,MONSENHOR HIPOLITO,Aprovado
MG,MONSENHOR PAULO,Aprovado
CE,MONSENHOR TABOSA,Aprovado
PB,MONTADAS,Aprovado
MG,MONTALVANIA,Não Cadastrado
ES,MONTANHA,Aprovado
RN,MONTANHAS,Aprovado
RS,MONTAURI,Não Cadastrado
RN,MONTE ALEGRE,Aprovado
PA,MONTE ALEGRE,Aprovado
GO,MONTE ALEGRE DE GOIAS,Não Cadastrado
MG,MONTE ALEGRE DE MINAS,Aprovado
SE,MONTE ALEGRE DE SERGIPE,Aprovado
PI,MONTE ALEGRE DO PIAUI,Não Cadastrado
SP,MONTE ALEGRE DO SUL,Aprovado
RS,MONTE ALEGRE DOS CAMPOS,Não Cadastrado
SP,MONTE ALTO,Aprovado
SP,MONTE APRAZIVEL,Aprovado
MG,MONTE AZUL,Aprovado
SP,MONTE AZUL PAULISTA,Aprovado
MG,MONTE BELO,Aprovado
RS,MONTE BELO DO SUL,Aprovado
SC,MONTE CARLO,Não Cadastrado
MG,MONTE CARMELO,Aprovado
SC,MONTE CASTELO,Aprovado
SP,MONTE CASTELO,Aprovado
RN,MONTE DAS GAMELEIRAS,Não Cadastrado
TO,MONTE DO CARMO,Aprovado
MG,MONTE FORMOSO,Aprovado
PB,MONTE HOREBE,Aprovado
SP,MONTE MOR,Aprovado
RO,MONTE NEGRO,Não Cadastrado
BA,MONTE SANTO,Aprovado
MG,MONTE SANTO DE MINAS,Aprovado
TO,MONTE SANTO DO TOCANTINS,Aprovado
MG,MONTE SIAO,Aprovado
PB,MONTEIRO,Aprovado
SP,MONTEIRO LOBATO,Aprovado
AL,MONTEIROPOLIS,Aprovado
RS,MONTENEGRO,Aprovado
MA,MONTES ALTOS,Aprovado
MG,MONTES CLAROS,Aprovado
GO,MONTES CLAROS DE GOIAS,Não Cadastrado
MG,MONTEZUMA,Aprovado
GO,MONTIVIDIU,Não Cadastrado
GO,MONTIVIDIU DO NORTE,Não Cadastrado
CE,MORADA NOVA,Aprovado
MG,MORADA NOVA DE MINAS,Aprovado
CE,MORAUJO,Não Cadastrado
PE,MOREILANDIA,Aprovado
PR,MOREIRA SALES,Aprovado
PE,MORENO,Aprovado
RS,MORMACO,Aprovado
BA,MORPARA,Aprovado
PR,MORRETES,Aprovado
CE,MORRINHOS,Aprovado
GO,MORRINHOS,Aprovado
RS,MORRINHOS DO SUL,Aprovado
SP,MORRO AGUDO,Aprovado
GO,MORRO AGUDO DE GOIAS,Aprovado
PI,MORRO CABECA NO TEMPO,Aprovado
SC,MORRO DA FUMACA,Aprovado
MG,MORRO DA GARCA,Aprovado
BA,MORRO DO CHAPEU,Aprovado
PI,MORRO DO CHAPEU DO PIAUI,Não Cadastrado
MG,MORRO DO PILAR,Aprovado
SC,MORRO GRANDE,Não Cadastrado
RS,MORRO REDONDO,Aprovado
RS,MORRO REUTER,Aprovado
MA,MORROS,Aprovado
BA,MORTUGABA,Aprovado
SP,MORUNGABA,Aprovado
GO,MOSSAMEDES,Aprovado
RN,MOSSORO,Aprovado
RS,MOSTARDAS,Aprovado
SP,MOTUCA,Em Cadastro
GO,MOZARLANDIA,Não Cadastrado
PA,MUANA,Aprovado
RR,MUCAJAI,Aprovado
CE,MUCAMBO,Aprovado
BA,MUCUGE,Aprovado
RS,MUCUM,Aprovado
BA,MUCURI,Aprovado
ES,MUCURICI,Aprovado
RS,MUITOS CAPOES,Aprovado
RS,MULITERNO,Aprovado
PB,MULUNGU,Aprovado
CE,MULUNGU,Aprovado
BA,MULUNGU DO MORRO,Aprovado
MS,MUNDO NOVO,Aprovado
BA,MUNDO NOVO,Aprovado
GO,MUNDO NOVO,Não Cadastrado
MG,MUNHOZ,Aprovado
PR,MUNHOZ DE MELO,Não Cadastrado
BA,MUNIZ FERREIRA,Aprovado
ES,MUNIZ FREIRE,Aprovado
BA,MUQUEM DE SAO FRANCISCO,Não Cadastrado
ES,MUQUI,Aprovado
MG,MURIAE,Aprovado
SE,MURIBECA,Aprovado
AL,MURICI,Aprovado
PI,MURICI DOS PORTELAS,Aprovado
TO,MURICILANDIA,Não Cadastrado
BA,MURITIBA,Aprovado
SP,MURUTINGA DO SUL,Aprovado
BA,MUTUIPE,Aprovado
MG,MUTUM,Aprovado
GO,MUTUNOPOLIS,Não Cadastrado
MG,MUZAMBINHO,Aprovado
MG,NACIP RAYDAN,Não Cadastrado
SP,NANTES,Aprovado
MG,NANUQUE,Aprovado
RS,NAO-ME-TOQUE,Aprovado
MG,NAQUE,Aprovado
SP,NARANDIBA,Aprovado
RN,NATAL,Aprovado
MG,NATALANDIA,Aprovado
MG,NATERCIA,Não Cadastrado
RJ,NATIVIDADE,Aprovado
TO,NATIVIDADE,Aprovado
SP,NATIVIDADE DA SERRA,Aprovado
PB,NATUBA,Aprovado
SC,NAVEGANTES,Aprovado
MS,NAVIRAI,Aprovado
BA,NAZARE,Aprovado
TO,NAZARE,Aprovado
PE,NAZARE DA MATA,Aprovado
PI,NAZARE DO PIAUI,Aprovado
SP,NAZARE PAULISTA,Aprovado
MG,NAZARENO,Aprovado
PB,NAZAREZINHO,Aprovado
PI,NAZARIA,Aprovado
GO,NAZARIO,Não Cadastrado
SE,NEOPOLIS,Aprovado
MG,NEPOMUCENO,Aprovado
GO,NEROPOLIS,Aprovado
SP,NEVES PAULISTA,Não Cadastrado
AM,NHAMUNDA,Não Cadastrado
SP,NHANDEARA,Aprovado
RS,NICOLAU VERGUEIRO,Aprovado
BA,NILO PECANHA,Aprovado
RJ,NILOPOLIS,Aprovado
MA,NINA RODRIGUES,Aprovado
MG,NINHEIRA,Não Cadastrado
MS,NIOAQUE,Aprovado
SP,NIPOA,Não Cadastrado
GO,NIQUELANDIA,Aprovado
RN,NISIA FLORESTA,Aprovado
RJ,NITEROI,Aprovado
MT,NOBRES,Não Cadastrado
RS,NONOAI,Aprovado
BA,NORDESTINA,Aprovado
RR,NORMANDIA,Aprovado
MT,NORTELANDIA,Não Cadastrado
SE,NOSSA SENHORA APARECIDA,Aprovado
SE,NOSSA SENHORA DA GLORIA,Aprovado
SE,NOSSA SENHORA DAS DORES,Aprovado
PR,NOSSA SENHORA DAS GRACAS,Não Cadastrado
SE,NOSSA SENHORA DE LOURDES,Aprovado
PI,NOSSA SENHORA DE NAZARE,Aprovado
MT,NOSSA SENHORA DO LIVRAMENTO,Aprovado
SE,NOSSA SENHORA DO SOCORRO,Aprovado
PI,NOSSA SENHORA DOS REMEDIOS,Aprovado
SP,NOVA ALIANCA,Aprovado
PR,NOVA ALIANCA DO IVAI,Não Cadastrado
RS,NOVA ALVORADA,Não Cadastrado
MS,NOVA ALVORADA DO SUL,Aprovado
GO,NOVA AMERICA,Em Análise
PR,NOVA AMERICA DA COLINA,Não Cadastrado
MS,NOVA ANDRADINA,Aprovado
RS,NOVA ARACA,Aprovado
PR,NOVA AURORA,Não Cadastrado
GO,NOVA AURORA,Não Cadastrado
MT,NOVA BANDEIRANTES,Aprovado
RS,NOVA BASSANO,Aprovado
MG,NOVA BELEM,Não Cadastrado
RS,NOVA BOA VISTA,Aprovado
MT,NOVA BRASILANDIA,Aprovado
RO,NOVA BRASILANDIA D'OESTE,Não Cadastrado
RS,NOVA BRESCIA,Aprovado
SP,NOVA CAMPINA,Não Cadastrado
BA,NOVA CANAA,Aprovado
MT,NOVA CANAA DO NORTE,Não Cadastrado
SP,NOVA CANAA PAULISTA,Aprovado
RS,NOVA CANDELARIA,Aprovado
PR,NOVA CANTU,Não Cadastrado
SP,NOVA CASTILHO,Não Cadastrado
MA,NOVA COLINAS,Não Cadastrado
GO,NOVA CRIXAS,Não Cadastrado
RN,NOVA CRUZ,Aprovado
MG,NOVA ERA,Aprovado
SC,NOVA ERECHIM,Aprovado
PR,NOVA ESPERANCA,Aprovado
PA,NOVA ESPERANCA DO PIRIA,Aprovado
PR,NOVA ESPERANCA DO SUDOESTE,Aprovado
RS,NOVA ESPERANCA DO SUL,Aprovado
SP,NOVA EUROPA,Aprovado
PR,NOVA FATIMA,Aprovado
BA,NOVA FATIMA,Aprovado
PB,NOVA FLORESTA,Aprovado
RJ,NOVA FRIBURGO,Aprovado
GO,NOVA GLORIA,Não Cadastrado
SP,NOVA GRANADA,Aprovado
MT,NOVA GUARITA,Não Cadastrado
SP,NOVA GUATAPORANGA,Não Cadastrado
RS,NOVA HARTZ,Aprovado
BA,NOVA IBIA,Não Cadastrado
RJ,NOVA IGUACU,Aprovado
GO,NOVA IGUACU DE GOIAS,Não Cadastrado
SP,NOVA INDEPENDENCIA,Aprovado
MA,NOVA IORQUE,Aprovado
PA,NOVA IPIXUNA,Aprovado
SC,NOVA ITABERABA,Aprovado
BA,NOVA ITARANA,Aprovado
MT,NOVA LACERDA,Não Cadastrado
PR,NOVA LARANJEIRAS,Em Cadastro
MG,NOVA LIMA,Aprovado
PR,NOVA LONDRINA,Aprovado
SP,NOVA LUZITANIA,Aprovado
RO,NOVA MAMORE,Em Complementação
MT,NOVA MARILANDIA,Não Cadastrado
MT,NOVA MARINGA,Não Cadastrado
MG,NOVA MODICA,Aprovado
MT,NOVA MONTE VERDE,Aprovado
MT,NOVA MUTUM,Aprovado
MT,NOVA NAZARE,Aprovado
SP,NOVA ODESSA,Aprovado
MT,NOVA OLIMPIA,Aprovado
PR,NOVA OLIMPIA,Não Cadastrado
PB,NOVA OLINDA,Aprovado
CE,NOVA OLINDA,Aprovado
TO,NOVA OLINDA,Aprovado
MA,NOVA OLINDA DO MARANHAO,Aprovado
AM,NOVA OLINDA DO NORTE,Aprovado
RS,NOVA PADUA,Não Cadastrado
RS,NOVA PALMA,Aprovado
PB,NOVA PALMEIRA,Aprovado
RS,NOVA PETROPOLIS,Aprovado
MG,NOVA PONTE,Aprovado
MG,NOVA PORTEIRINHA,Aprovado
RS,NOVA PRATA,Aprovado
PR,NOVA PRATA DO IGUACU,Aprovado
RS,NOVA RAMADA,Aprovado
BA,NOVA REDENCAO,Aprovado
MG,NOVA RESENDE,Aprovado
GO,NOVA ROMA,Aprovado
RS,NOVA ROMA DO SUL,Aprovado
TO,NOVA ROSALANDIA,Aprovado
CE,NOVA RUSSAS,Aprovado
PR,NOVA SANTA BARBARA,Não Cadastrado
MT,NOVA SANTA HELENA,Não Cadastrado
PI,NOVA SANTA RITA,Não Cadastrado
RS,NOVA SANTA RITA,Aprovado
PR,NOVA SANTA ROSA,Aprovado
MG,NOVA SERRANA,Aprovado
BA,NOVA SOURE,Aprovado
PR,NOVA TEBAS,Não Cadastrado
PA,NOVA TIMBOTEUA,Aprovado
SC,NOVA TRENTO,Aprovado
MT,NOVA UBIRATA,Em Cadastro
RO,NOVA UNIAO,Em Cadastro
MG,NOVA UNIAO,Aprovado
ES,NOVA VENECIA,Aprovado
SC,NOVA VENEZA,Aprovado
GO,NOVA VENEZA,Aprovado
BA,NOVA VICOSA,Aprovado
MT,NOVA XAVANTINA,Aprovado
SP,NOVAIS,Não Cadastrado
TO,NOVO ACORDO,Aprovado
AM,NOVO AIRAO,Aprovado
TO,NOVO ALEGRE,Aprovado
AM,NOVO ARIPUANA,Não Cadastrado
RS,NOVO BARREIRO,Aprovado
GO,NOVO BRASIL,Aprovado
RS,NOVO CABRAIS,Aprovado
MG,NOVO CRUZEIRO,Aprovado
GO,NOVO GAMA,Aprovado
RS,NOVO HAMBURGO,Aprovado
BA,NOVO HORIZONTE,Aprovado
SC,NOVO HORIZONTE,Aprovado
SP,NOVO HORIZONTE,Aprovado
MT,NOVO HORIZONTE DO NORTE,Aprovado
RO,NOVO HORIZONTE DO OESTE,Não Cadastrado
MS,NOVO HORIZONTE DO SUL,Não Cadastrado
PR,NOVO ITACOLOMI,Em Cadastro
TO,NOVO JARDIM,Aprovado
AL,NOVO LINO,Aprovado
RS,NOVO MACHADO,Não Cadastrado
MT,NOVO MUNDO,Não Cadastrado
CE,NOVO ORIENTE,Não Cadastrado
MG,NOVO ORIENTE DE MINAS,Aprovado
PI,NOVO ORIENTE DO PIAUI,Não Cadastrado
GO,NOVO PLANALTO,Não Cadastrado
PA,NOVO PROGRESSO,Aprovado
PA,NOVO REPARTIMENTO,Não Cadastrado
PI,NOVO SANTO ANTONIO,Não Cadastrado
MT,NOVO SANTO ANTONIO,Não Cadastrado
MT,NOVO SAO JOAQUIM,Não Cadastrado
RS,NOVO TIRADENTES,Aprovado
BA,NOVO TRIUNFO,Aprovado
RS,NOVO XINGU,Aprovado
MG,NOVORIZONTE,Não Cadastrado
SP,NUPORANGA,Não Cadastrado
PA,OBIDOS,Aprovado
CE,OCARA,Aprovado
SP,OCAUCU,Em Cadastro
PI,OEIRAS,Aprovado
PA,OEIRAS DO PARA,Aprovado
AP,OIAPOQUE,Aprovado
MG,OLARIA,Aprovado
SP,OLEO,Não Cadastrado
PB,OLHO D'AGUA,Aprovado
MA,OLHO D'AGUA DAS CUNHAS,Não Cadastrado
AL,OLHO D'AGUA DAS FLORES,Aprovado
AL,OLHO D'AGUA DO CASADO,Aprovado
PI,OLHO D'AGUA DO PIAUI,Não Cadastrado
AL,OLHO D'AGUA GRANDE,Aprovado
RN,OLHO-D'AGUA DO BORGES,Aprovado
MG,OLHOS-D'AGUA,Aprovado
SP,OLIMPIA,Aprovado
MG,OLIMPIO NORONHA,Não Cadastrado
PE,OLINDA,Aprovado
MA,OLINDA NOVA DO MARANHAO,Não Cadastrado
BA,OLINDINA,Aprovado
PB,OLIVEDOS,Aprovado
MG,OLIVEIRA,Aprovado
TO,OLIVEIRA DE FATIMA,Não Cadastrado
BA,OLIVEIRA DOS BREJINHOS,Aprovado
MG,OLIVEIRA FORTES,Aprovado
AL,OLIVENCA,Aprovado
MG,ONCA DE PITANGUI,Não Cadastrado
SP,ONDA VERDE,Aprovado
MG,ORATORIOS,Aprovado
SP,ORIENTE,Aprovado
SP,ORINDIUVA,Não Cadastrado
PA,ORIXIMINA,Aprovado
MG,ORIZANIA,Não Cadastrado
GO,ORIZONA,Em Cadastro
SP,ORLANDIA,Não Cadastrado
SC,ORLEANS,Aprovado
PE,OROBO,Aprovado
PE,OROCO,Aprovado
CE,OROS,Aprovado
PR,ORTIGUEIRA,Aprovado
SP,OSASCO,Aprovado
SP,OSCAR BRESSANE,Aprovado
RS,OSORIO,Aprovado
SP,OSVALDO CRUZ,Aprovado
SC,OTACILIO COSTA,Aprovado
PA,OUREM,Aprovado
BA,OURICANGAS,Aprovado
PE,OURICURI,Aprovado
PA,OURILANDIA DO NORTE,Aprovado
SP,OURINHOS,Aprovado
PR,OURIZONA,Não Cadastrado
SC,OURO,Aprovado
AL,OURO BRANCO,Aprovado
RN,OURO BRANCO,Aprovado
MG,OURO BRANCO,Aprovado
MG,OURO FINO,Aprovado
MG,OURO PRETO,Aprovado
RO,OURO PRETO DO OESTE,Aprovado
PB,OURO VELHO,Aprovado
SP,OURO VERDE,Não Cadastrado
SC,OURO VERDE,Rejeitado
GO,OURO VERDE DE GOIAS,Não Cadastrado
MG,OURO VERDE DE MINAS,Aprovado
PR,OURO VERDE DO OESTE,Não Cadastrado
SP,OUROESTE,Não Cadastrado
BA,OUROLANDIA,Não Cadastrado
GO,OUVIDOR,Aprovado
SP,PACAEMBU,Aprovado
PA,PACAJA,Em Análise
CE,PACAJUS,Aprovado
RR,PACARAIMA,Não Cadastrado
SE,PACATUBA,Aprovado
CE,PACATUBA,Aprovado
MA,PACO DO LUMIAR,Aprovado
CE,PACOTI,Aprovado
CE,PACUJA,Aprovado
GO,PADRE BERNARDO,Não Cadastrado
MG,PADRE CARVALHO,Aprovado
PI,PADRE MARCOS,Aprovado
MG,PADRE PARAISO,Aprovado
PI,PAES LANDIM,Não Cadastrado
MG,PAI PEDRO,Aprovado
SC,PAIAL,Não Cadastrado
PR,PAICANDU,Aprovado
RS,PAIM FILHO,Aprovado
MG,PAINEIRAS,Aprovado
SC,PAINEL,Não Cadastrado
MG,PAINS,Aprovado
MG,PAIVA,Não Cadastrado
PI,PAJEU DO PIAUI,Não Cadastrado
AL,PALESTINA,Aprovado
SP,PALESTINA,Rejeitado
GO,PALESTINA DE GOIAS,Não Cadastrado
PA,PALESTINA DO PARA,Não Cadastrado
CE,PALHANO,Aprovado
SC,PALHOCA,Aprovado
MG,PALMA,Aprovado
SC,PALMA SOLA,Aprovado
CE,PALMACIA,Aprovado
PE,PALMARES,Aprovado
RS,PALMARES DO SUL,Aprovado
SP,PALMARES PAULISTA,Aprovado
PR,PALMAS,Aprovado
TO,PALMAS,Aprovado
BA,PALMAS DE MONTE ALTO,Aprovado
PR,PALMEIRA,Aprovado
SC,PALMEIRA,Não Cadastrado
SP,PALMEIRA D'OESTE,Não Cadastrado
RS,PALMEIRA DAS MISSOES,Aprovado
PI,PALMEIRA DO PIAUI,Aprovado
AL,PALMEIRA DOS INDIOS,Aprovado
PI,PALMEIRAIS,Aprovado
MA,PALMEIRANDIA,Não Cadastrado
TO,PALMEIRANTE,Não Cadastrado
BA,PALMEIRAS,Aprovado
GO,PALMEIRAS DE GOIAS,Aprovado
TO,PALMEIRAS DO TOCANTINS,Aprovado
PE,PALMEIRINA,Aprovado
TO,PALMEIROPOLIS,Aprovado
GO,PALMELO,Aprovado
GO,PALMINOPOLIS,Não Cadastrado
PR,PALMITAL,Não Cadastrado
SP,PALMITAL,Aprovado
RS,PALMITINHO,Aprovado
SC,PALMITOS,Aprovado
MG,PALMOPOLIS,Em Cadastro
PR,PALOTINA,Aprovado
GO,PANAMA,Aprovado
RS,PANAMBI,Aprovado
ES,PANCAS,Não Cadastrado
PE,PANELAS,Aprovado
SP,PANORAMA,Aprovado
RS,PANTANO GRANDE,Aprovado
AL,PAO DE ACUCAR,Aprovado
MG,PAPAGAIOS,Aprovado
SC,PAPANDUVA,Aprovado
PI,PAQUETA,Aprovado
MG,PARA DE MINAS,Aprovado
RJ,PARACAMBI,Aprovado
MG,PARACATU,Aprovado
CE,PARACURU,Aprovado
PA,PARAGOMINAS,Aprovado
MG,PARAGUACU,Aprovado
SP,PARAGUACU PAULISTA,Aprovado
RS,PARAI,Aprovado
RJ,PARAIBA DO SUL,Aprovado
MA,PARAIBANO,Não Cadastrado
SP,PARAIBUNA,Aprovado
CE,PARAIPABA,Aprovado
SP,PARAISO,Não Cadastrado
SC,PARAISO,Não Cadastrado
MS,PARAISO DAS AGUAS,Não Cadastrado
PR,PARAISO DO NORTE,Aprovado
RS,PARAISO DO SUL,Aprovado
TO,PARAISO DO TOCANTINS,Aprovado
MG,PARAISOPOLIS,Aprovado
CE,PARAMBU,Não Cadastrado
BA,PARAMIRIM,Aprovado
CE,PARAMOTI,Aprovado
RN,PARANA,Aprovado
TO,PARANA,Aprovado
PR,PARANACITY,Em Cadastro
PR,PARANAGUA,Aprovado
MS,PARANAIBA,Aprovado
GO,PARANAIGUARA,Não Cadastrado
MT,PARANAITA,Não Cadastrado
SP,PARANAPANEMA,Aprovado
PR,PARANAPOEMA,Não Cadastrado
SP,PARANAPUA,Não Cadastrado
PE,PARANATAMA,Aprovado
MT,PARANATINGA,Aprovado
PR,PARANAVAI,Aprovado
MS,PARANHOS,Aprovado
MG,PARAOPEBA,Aprovado
SP,PARAPUA,Aprovado
PB,PARARI,Aprovado
RJ,PARATI,Aprovado
BA,PARATINGA,Aprovado
RN,PARAU,Aprovado
PA,PARAUAPEBAS,Aprovado
GO,PARAUNA,Não Cadastrado
RN,PARAZINHO,Aprovado
SP,PARDINHO,Aprovado
RS,PARECI NOVO,Aprovado
RO,PARECIS,Não Cadastrado
RN,PARELHAS,Aprovado
AL,PARICONHA,Aprovado
AM,PARINTINS,Aprovado
BA,PARIPIRANGA,Não Cadastrado
AL,PARIPUEIRA,Aprovado
SP,PARIQUERA-ACU,Não Cadastrado
