registros,I_Cmp,I_Und
9,EQUIPO AQUECIMENTO E INFUSÃO SANGUÍNEA,UN.
9,REGULADOR CRESCIMENTO PLANTA,GALÃO DE 5 LITROS
9,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,UND.
9,CONEXAO HIDRAULICA - CIMENTO,FOLHA
9,CIMENTO ORTOPÉDICO,QUILOGRAMA
9,CIMENTO ORTOPÉDICO,ENV
9,CIMENTO PORTLAND,SC C/50 KG
9,TAMPA TUBO ABASTECIMENTO,PEÇA
9,CIMENTO REFRATÁRIO,SACO COM 50KG
9,CIMENTO REFRATÁRIO,QUILO
9,CAPTADOR DE AR DO SISTEMA DE PRE - AQUECIMENTO DO MOTOR,UN
8,CACAROLA DE AQUECIMENTO DE COLA,FOLHA
8,CIMENTO ORTOPÉDICO,CJ
8,COMPONENTE HIDRAULICO DE ABASTECIMENTO EM VOO,UND
8,EQUIPO AQUECIMENTO E INFUSÃO SANGUÍNEA,PÇ
8,COMPONENTE HIDRAULICO DE ABASTECIMENTO EM VOO,CJ
8,CIMENTO RESINOSO,KIT
8,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,KIT
8,CIMENTO REFRATÁRIO,SACAS
8,CONEXAO T DO TUBO DE ABASTECIMENTO DE MOTOR A GASOLINA,UND
8,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,UNID.
8,CIMENTO DE IONÔMERO DE VIDRO,DUZIA
8,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,M
8,CONTROLE DE ABASTECIMENTO DE VEICULOS,UMA
8,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,LITROS
8,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,UNIDADES
8,CIMENTO PORTLAND,SACO C/50KG
8,COMPONENTE BOMBA ABASTECIMENTO,M
8,CIMENTO DE IONÔMERO DE VIDRO,KIT
8,CONDUTOR SUPERIOR ARREFECIMENTO AR - VEICULO  AUTOMOTIVO,UND
8,CIMENTO PORTLAND,SCS.
8,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,UN.
7,CIMENTO PORTLAND,UNITARIO
7,UNIDADE MOVEL LUBRIFICACAO E ABASTECIMENTO,UN
7,TUBO DE CIMENTO - AMIANTO,UND
7,CIMENTO REFRATÁRIO,SC.
7,USINA DE SOLO CIMENTO,SACO
7,BOMBA ABASTECIMENTO DE LUBRIFICANTE VEÍCULO,PÇ
7,TUBO DE ABASTECIMENTO DE OLEO DE MOTOR DIESEL,LITRO
7,CIMENTO BRANCO,SACO 1KG
7,CIMENTO BRANCO,UNID
7,CIMENTO DE IONÔMERO DE VIDRO,TUBOS
7,CONTROLE DE ABASTECIMENTO DE VEICULOS,MENSAL
7,CIMENTO ORTOPÉDICO,DOSE
7,CIMENTO ORTOPÉDICO,VIDROS
7,INJECOES DE CIMENTO (OBRAS CIVIS),UND
7,CIMENTO PORTLAND,METRO QUADRADO
7,CIMENTO DE IONÔMERO DE VIDRO,UNID
7,SUPLEMENTO CRESCIMENTO ( THAYER - MARTIN ),ML
7,SUPLEMENTO CRESCIMENTO ( THAYER - MARTIN ),FR
7,CONTROLE DE ABASTECIMENTO DE VEICULOS,SERVICO
7,CIMENTO ORTOPÉDICO,ET
7,CIMENTO PORTLAND,SACOS.
7,CONTROLE DE ABASTECIMENTO DE VEICULOS,TAXA DE SERVIÇO
7,CACAROLA DE AQUECIMENTO DE COLA,ROLO
7,CIMENTO PORTLAND,SACO 20 KG
7,MANUTENCAO DE SISTEMAS DE AQUECIMENTO,UNID
7,CONEXAO HIDRAULICA - CIMENTO,SC
7,SISTEMA ENERGIA SOLAR - AQUECIMENTO DE AGUA,UM
7,CONEXAO HIDRAULICA - CIMENTO,FRASCO
7,CUBA DE CIMENTO PARA PIA,UN
6,CIMENTO REFRATÁRIO,SACO 25 KG
6,CIMENTO PORTLAND,SACO COM 50 KG.
6,CIMENTO BRANCO,UNIDADES
6,CIMENTO ORTOPÉDICO,ESTOJO
6,CONTROLE DE ABASTECIMENTO DE VEICULOS,GLOBAL
6,REGULADOR CRESCIMENTO PLANTA,"GALÃO 00000005,00 L"
6,SUPLEMENTO CRESCIMENTO ( THAYER - MARTIN ),TON
6,SISTEMA ENERGIA SOLAR - AQUECIMENTO DE AGUA,UNID
6,ABASTECIMENTO TERMINAL AUTO-ATENDIMENTO,UN
6,"MESA COM AQUECIMENTO FIXO - COZINHAR, ASSAR  E SERVIR ALIMENTO",UNIDADE
6,COMPONENTE BOMBA ABASTECIMENTO,CJ
6,SUPLEMENTO CRESCIMENTO ( THAYER - MARTIN ),SACO
